Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,125.699997,126.169998,125.650002,125.919998,109.598404,4993300
2015-01-02,126.290001,127.660004,126.150002,127.320000,110.816940,9432000
2015-01-05,128.009995,129.630005,127.959999,129.320007,112.557701,9789500
2015-01-06,130.699997,132.490005,130.190002,131.649994,114.585693,18331300
2015-01-07,130.699997,131.970001,130.169998,131.389999,114.359398,9762900
2015-01-08,130.360001,130.369995,129.419998,129.649994,112.844978,8055300
2015-01-09,129.199997,131.110001,129.039993,131.070007,114.080879,9398800
2015-01-12,131.000000,132.309998,130.919998,131.820007,114.733650,6658100
2015-01-13,131.389999,132.610001,131.139999,131.820007,114.733650,8260800
2015-01-14,133.720001,134.119995,132.699997,132.820007,115.604019,12324500
2015-01-15,132.850006,135.029999,132.679993,134.910004,117.423096,11454200
2015-01-16,134.330002,134.679993,133.029999,133.190002,115.926094,9390500
2015-01-20,134.130005,135.110001,134.070007,134.960007,117.466652,7758700
2015-01-21,135.199997,135.589996,132.960007,133.399994,116.108887,9803900
2015-01-22,134.000000,134.179993,132.279999,132.919998,115.691063,10200000
2015-01-23,134.300003,135.119995,134.149994,134.770004,117.301308,7334600
2015-01-26,134.839996,135.190002,134.050003,134.360001,116.944443,5966500
2015-01-27,135.729996,136.130005,134.149994,134.570007,117.127235,8079600
2015-01-28,134.750000,137.410004,134.699997,136.770004,119.042068,12230300
2015-01-29,136.119995,136.669998,135.460007,135.869995,118.258781,8881400
2015-01-30,137.710007,138.500000,137.179993,138.279999,120.356354,14871200
2015-02-02,136.699997,137.919998,136.660004,137.479996,119.901917,13689900
2015-02-03,135.649994,135.789993,134.369995,134.570007,117.364037,14008700
2015-02-04,133.490005,134.990005,133.119995,134.800003,117.564583,11360400
2015-02-05,134.000000,134.229996,133.110001,133.320007,116.273819,8334600
2015-02-06,132.050003,132.350006,130.589996,130.960007,114.215584,13685600
2015-02-09,131.970001,131.979996,130.750000,130.750000,114.032410,8025500
2015-02-10,130.139999,130.470001,129.440002,129.710007,113.125420,8290700
2015-02-11,129.699997,130.270004,128.960007,129.949997,113.334702,6506400
2015-02-12,129.660004,130.539993,129.449997,129.520004,112.959709,12548300
2015-02-13,129.509995,129.529999,128.089996,128.190002,111.799774,8325200
2015-02-17,127.800003,127.930000,125.919998,126.260002,110.116524,14968800
2015-02-18,126.820000,127.739998,126.470001,127.010002,110.770592,14009200
2015-02-19,126.779999,127.449997,126.169998,126.169998,110.038010,8584800
2015-02-20,127.050003,128.009995,126.000000,126.540001,110.360718,12502500
2015-02-23,127.190002,128.169998,127.160004,127.989998,111.625305,7500500
2015-02-24,127.650002,129.789993,127.180000,129.669998,113.090515,11958300
2015-02-25,129.460007,130.389999,129.080002,130.229996,113.578873,8019800
2015-02-26,129.699997,130.300003,128.399994,128.449997,112.026505,11020500
2015-02-27,129.020004,129.619995,128.270004,129.529999,112.968399,9225100
2015-03-02,129.000000,129.070007,126.769997,126.870003,110.864212,11324000
2015-03-03,126.889999,127.370003,126.379997,126.410004,110.462219,8599000
2015-03-04,126.940002,127.040001,126.160004,126.449997,110.497200,6478900
2015-03-05,126.529999,126.879997,125.900002,126.290001,110.357391,6045000
2015-03-06,124.669998,124.830002,122.970001,123.500000,107.919365,20022900
2015-03-09,124.680000,124.870003,124.129997,124.639999,108.915535,8889100
2015-03-10,125.970001,126.440002,125.760002,126.279999,110.348663,9277900
2015-03-11,126.260002,127.459999,126.120003,127.199997,111.152542,6663100
2015-03-12,128.199997,128.199997,126.720001,127.110001,111.073952,10295900
2015-03-13,126.760002,127.589996,126.489998,126.720001,110.733139,7247200
2015-03-16,127.940002,128.149994,127.269997,127.940002,111.799194,6374600
2015-03-17,128.550003,129.110001,128.279999,129.000000,112.725487,6314000
2015-03-18,129.910004,131.529999,128.610001,131.490005,114.901360,13981900
2015-03-19,131.199997,131.619995,130.270004,130.820007,114.315895,9543800
2015-03-20,131.220001,131.699997,131.139999,131.509995,114.918808,5953800
2015-03-23,131.699997,131.750000,130.990005,131.350006,114.779007,5555500
2015-03-24,131.830002,132.639999,131.479996,132.619995,115.888824,6713000
2015-03-25,132.720001,132.759995,131.460007,131.500000,114.910103,5635800
2015-03-26,131.050003,131.139999,129.179993,129.449997,113.118706,9536300
2015-03-27,130.029999,131.130005,129.979996,131.059998,114.525597,7907900
2015-03-30,130.899994,131.000000,130.089996,130.410004,113.957603,7010600
2015-03-31,130.240005,130.960007,129.910004,130.690002,114.202278,6844300
2015-04-01,131.330002,132.479996,131.300003,132.130005,115.702263,9273900
2015-04-02,131.929993,131.970001,130.610001,130.729996,114.476349,6663400
2015-04-06,131.429993,131.479996,129.720001,130.000000,113.837128,5923800
2015-04-07,130.229996,131.220001,129.850006,131.089996,114.791595,4764900
2015-04-08,131.020004,131.360001,130.020004,131.130005,114.826653,5378900
2015-04-09,130.869995,130.919998,129.130005,129.429993,113.337967,6484200
2015-04-10,130.320007,130.449997,129.550003,129.619995,113.504372,4843000
2015-04-13,129.529999,129.979996,129.389999,129.800003,113.661995,4010600
2015-04-14,131.309998,131.860001,130.479996,130.720001,114.467606,6075500
2015-04-15,131.050003,131.270004,130.320007,130.610001,114.371307,4425200
2015-04-16,130.830002,130.860001,129.410004,129.960007,113.802116,7085500
2015-04-17,129.770004,131.699997,129.699997,131.449997,115.106842,7268800
2015-04-20,130.940002,131.009995,129.929993,130.289993,114.091064,4949400
2015-04-21,130.229996,130.449997,129.559998,129.699997,113.574402,4563800
2015-04-22,129.500000,129.550003,127.540001,127.720001,111.840584,9707600
2015-04-23,127.800003,128.850006,127.610001,128.270004,112.322235,6843400
2015-04-24,128.639999,129.429993,128.589996,129.070007,113.022758,4773000
2015-04-27,129.070007,129.500000,128.369995,129.070007,113.022758,4334900
2015-04-28,128.169998,128.740005,127.260002,127.290001,111.464081,7464300
2015-04-29,125.809998,126.440002,125.279999,125.730003,110.097992,11554800
